               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091624,            0.032049,            0.066274,           0.0098787,               0.175,            0.012337,            0.002909,            0.054409,            0.022754,            0.060049,             0.00074,             0.00074,             0.09334
                   1,            0.054247,              0.0285,            0.062045,             0.12069,                 0.5,             0.15848,            0.061699,             0.03764,            0.015031,            0.055544,           0.0014897,           0.0014897,             0.08659
                   2,            0.052776,            0.022132,            0.059889,            0.096157,             0.34634,             0.13318,            0.043616,            0.049506,            0.010845,            0.050802,            0.002238,            0.002238,            0.079838
                   3,            0.050666,            0.019945,            0.058286,             0.20107,               0.595,             0.31125,             0.16295,            0.039228,           0.0089847,            0.047821,            0.002984,            0.002984,            0.073084
                   4,            0.045713,            0.016099,            0.055606,             0.34774,                0.61,             0.46974,              0.2141,            0.033091,           0.0084504,            0.044146,           0.0037267,           0.0037267,            0.066327
                   5,            0.042923,            0.014896,             0.05151,             0.33506,             0.70741,             0.60487,             0.28943,            0.039849,           0.0067655,            0.037988,           0.0044651,           0.0044651,            0.059565
                   6,            0.043899,            0.013412,            0.047408,             0.40893,             0.76912,             0.61057,              0.2518,            0.035946,           0.0066561,            0.033506,           0.0051982,           0.0051982,            0.052798
                   7,            0.047155,            0.014917,            0.043135,             0.57897,              0.8103,             0.76406,             0.35126,            0.035242,           0.0064166,            0.027776,           0.0059251,           0.0059251,            0.046025
                   8,            0.045169,            0.012806,             0.03854,             0.51642,             0.92051,              0.7821,             0.50465,            0.033789,           0.0061996,            0.027112,           0.0066447,           0.0066447,            0.039245
                   9,            0.042571,            0.012714,            0.035743,             0.68618,             0.78268,             0.79292,             0.36324,            0.042731,           0.0062792,            0.026546,           0.0073562,           0.0073562,            0.032456
                  10,            0.041094,             0.01205,            0.032023,             0.64753,                0.91,             0.82532,             0.47755,             0.03166,           0.0057956,            0.018951,           0.0080585,           0.0080585,            0.025659
